George Clinton & Parliament Funkadelic (TALLAHASSEE, FL)
Andrew W.K. (MANHATTAN, NY)
Princess Nokia (NEW YORK, NY)
Pussy Riot (MOSCOW, RUSSIA)
Rapsody (SNOW HILL, NC)
CULTS (NEW YORK, NY)
Zola Jesus (PHOENIX, AZ)
Oddisee & Good Compny (WASHINGTON, DC)
Lido Pimienta (TORONTO, ON)
Connan Mockasin (TE AWANGA, NZ)
Built To Spill (BOISE, ID)
Galactic (NEW ORLEANS, LA)
Jamila Woods (CHICAGO, IL)
Twin Peaks (CHICAGO, IL)
Matthew Dear (DETROIT, MI)
Typhoon (PORTLAND, OR)
Cindy Wilson (ATHENS, GA)
Hanni El Khatib (LOS ANGELES, CA)
Antibalas (BROOKLYN, NY)
Magic Sword (BOISE, ID)
U.S. Girls (TORONTO, ON)
Yoni Wolf (CINCINNATI, OH)
Land Of Talk (ORILLIA, ONTARIO)
Partner (WINDSOR, ONTARIO, CAN)
Treepeople (BOISE, ID)
Thunderpussy (SEATTLE, WA)
The Districts (PHILADELPHIA, PA)
Horse Feathers (ASTORIA, OR)
Mirah featuring Jherek Bischoff (NEW YORK, NY)
Titus Andronicus (BROOKLYN, NY)
Shook Twins (PORTLAND, OR)
Lola Marsh (TEL AVIV, ISR)
together PANGEA (LOS ANGELES, CA)
The Suffers (HOUSTON, TX)
Christopher Willits (OAKLAND, CA)
Kelly Lee Owens (LONDON, UK)
ill-esha (DENVER, CO)
Um.. (LOS ANGELES, CA)
Eliot Lipp (AUSTIN, TX)
Wild Ones (PORTLAND, OR)
Low Cut Connie (PHILADELPHIA, PA)
The Regrettes (LOS ANGELES, CA)
SassyBlack (SEATTLE, WA)
Epic Beard Men (PROVIDENCE, RI)
Kweku Collins (EVANSTON, IL)
The Russ Liquid Test (NEW ORLEANS, LA)
Big Dipper (LOS ANGELES, CA)
The Seshen (OAKLAND, CA)
Five Alarm Funk (VANCOUVER, BC)
Milk & Bone (MONTREAL, QC)
Rituals of Mine (LOS ANGELES, CA)
Sonny Smith (SAN FRANCISCO, CA)
Mimicking Birds (PORTLAND, OR)
Helvetia (PORTLAND, OR)
Michael Rault (MONTREAL, QC)
Karl Blau (ANACORTES, WA)
esme patterson (solo) (DENVER, CO)
Cy Dune (LOS ANGELES, CA)
La Misa Negra (OAKLAND, CA)
Jeff Crosby (BOISE, ID)
Zee Will (FRESNO, CA)
Guayaba (BREMERTON, WA)
Abhi The Nomad (AUSTIN, TX)
Pujol (NASHVILLE, TN)
Yonatan Gat (NEW YORK, NY)
De Lux (LOS ANGELES, CA)
Mad Zach (BERLIN, GERMANY)
Starcrawler (LOS ANGELES, CA)
